img_link,title,types,visitor,comment,likes
"https://img.zcool.cn/community/031y2fuy3l8h0fuxrhf1saa3738.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",电商详情页｜全案视觉 ✖ 4,网页-电商,6440 Populary,22 Comments,101 Recommended
"https://img.zcool.cn/community/031dhssncubj5owoapa3uu73532.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",大叔说我并不是一无所有，我还有脸过生日,三维-动画/影视,3063 Populary,7 Comments,68 Recommended
"https://img.zcool.cn/community/031xeyv2ws2mvtu4vqvxe1p3732.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",站酷16周年-去往ZWORLD,平面-海报,5328 Populary,25 Comments,202 Recommended
"https://img.zcool.cn/community/031iepzbayq1jdq6i2ta3ap3236.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",【听见·国乐】-峡谷中的五音万象,平面-海报,5232 Populary,12 Comments,196 Recommended
"https://img.zcool.cn/community/031122a62ba00740002c45e370178f0.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",小丑饼干,平面-IP形象,1604 Populary,2 Comments,51 Recommended
"https://img.zcool.cn/community/031idv8p4sxwmji3kaxc00j3536.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",贰婶手写--奇妙的中国汉字【玩字】,平面-字体/字形,2351 Populary,4 Comments,33 Recommended
"https://img.zcool.cn/community/031vaxetivguwiilqfsydb13238.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Darkeyes Team · 潮玩设定,三维-其他三维,2340 Populary,12 Comments,116 Recommended
"https://img.zcool.cn/community/031qqvkce7eeuabr6ebibgm3638.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",快手 | 616实在就是好+超级品牌日系列海报,三维-其他三维,1.2w Populary,24 Comments,761 Recommended
"https://img.zcool.cn/community/0316qurrauarcy1z7qaqxgu3630.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",美术字｜十二生肖,平面-字体/字形,2701 Populary,9 Comments,82 Recommended
"https://img.zcool.cn/community/031vqeivrjijllwphvoxb113737.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",理所设计 X 一栗·鲜活栗公司,平面-品牌,7064 Populary,19 Comments,286 Recommended
"https://img.zcool.cn/community/031h6crq6js5r3wgka5kwkx3133.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",面膜包装设计,平面-包装,4102 Populary,8 Comments,72 Recommended
"https://img.zcool.cn/community/031jcgbbe9lxclswkoeg9bj3031.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",《恵知州》古村落文创园,平面-品牌,5485 Populary,19 Comments,314 Recommended
"https://img.zcool.cn/community/031upkarbtrhcp9cqii28lk3439.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",喜鹊X摩飞 | 700年大英藏品，喜鹊为啥说改就改了？,平面-包装,4087 Populary,11 Comments,114 Recommended
"https://img.zcool.cn/community/031xqmcllclkjor6c2wk8gm3238.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",LOGO,平面-Logo,3534 Populary,22 Comments,135 Recommended
"https://img.zcool.cn/community/031wmnoresw65tnimsmbiba3435.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",汤臣杰逊 X 秘密武器｜品牌超级体系,网页-电商,8738 Populary,26 Comments,169 Recommended
"https://img.zcool.cn/community/01cdab62b982530002c45e373475ac.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",每个清晨，都会问自己“我真的需要这份工作吗？”,动漫-短篇/格漫,1.4w Populary,133 Comments,414 Recommended
"https://img.zcool.cn/community/031hoaoxchyfebth3yew2up3439.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Sleeping Beauty 克苏鲁少女 - 赤潮&磷光&蓝夜,工业/产品-玩具,3680 Populary,16 Comments,160 Recommended
"https://img.zcool.cn/community/031xblvgs95svvqorni7wyh3033.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",2022年终述职/作品整理,UI-APP界面,1.2w Populary,57 Comments,498 Recommended
"https://img.zcool.cn/community/031dlwvyc5q72yfgugw4fjw3536.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",难怪面试大厂没下文，原来面试官最在意的是这6点！,观点-多领域,4913 Populary,17 Comments,91 Recommended
"https://img.zcool.cn/community/031hg9azwcdjrnu3dvbm2wf3731.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",图形差点意思？这个方法一学就会！,教程-多领域,7118 Populary,11 Comments,375 Recommended
"https://img.zcool.cn/community/031a4ecxeoj5pb01gfvlbg53239.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",一百种生活-V1,三维-动画/影视,4214 Populary,22 Comments,226 Recommended
"https://img.zcool.cn/community/031fsj3tkloulbdkh2umbyv3837.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Mclaren Elva -  CGI,三维-机械/交通,5516 Populary,32 Comments,357 Recommended
"https://img.zcool.cn/community/031qdbglxyboxjebitblwjg3237.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",敦煌境+胖脸吉祥2022年第2季度总结,插画-艺术插画,4346 Populary,8 Comments,150 Recommended
"https://img.zcool.cn/community/0317s9w0qzuqwd90krmfigq3530.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",简单3步画出真实油画笔触厚度质感-附作品,插画-创作习作,8090 Populary,37 Comments,484 Recommended
"https://img.zcool.cn/community/031p0rr5jr3lcilxqmihxen3137.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",潮流手办——复古骑士Berry,工业/产品-玩具,4596 Populary,30 Comments,251 Recommended
"https://img.zcool.cn/community/0313a5jwcisdvyehasifzsk3836.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",战斗天使 / 比亚迪汽车主题设计,UI-主题/皮肤,4937 Populary,26 Comments,142 Recommended
"https://img.zcool.cn/community/031hbtdualu9cf4duipanmo3135.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",城视中国 | 广州&深圳,摄影-风光摄影,5411 Populary,13 Comments,201 Recommended
"https://img.zcool.cn/community/031ilairvmbphhxmt1fyj163731.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",项目总结|双面玩家联名系列线,网页-电商,1.5w Populary,13 Comments,246 Recommended
"https://img.zcool.cn/community/01d97462b93ad10002c313f72161d1.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",【gif小动画】2022第二季度.夏季篇,插画-商业插画,5002 Populary,28 Comments,378 Recommended
,,,,,
"https://img.zcool.cn/community/031osslhak2oixxchn4nvgb3132.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",神仙打架！这届毕设让搬砖3年的我慌了！！！！,资讯-其他,1.1w Populary,25 Comments,79 Recommended
"https://img.zcool.cn/community/031h6m0kjl8gzbplgnovll93239.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",《可能有梦》-查尔斯·博蒙特短篇小说选插画集,插画-商业插画,2474 Populary,12 Comments,92 Recommended
"https://img.zcool.cn/community/031xxeabfp6unvphrlvhvjq3138.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Xiaomi 11T & Xiaomi 11T Pro 内部结构及氛圍渲染圖,三维-产品,3897 Populary,5 Comments,188 Recommended
"https://img.zcool.cn/community/031pdxc3qsjgb0xcphls6e43935.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",臭宝儿螺蛳粉·实拍动画《臭宝你很对我的味》,影视-宣传片,5936 Populary,11 Comments,100 Recommended
,,,,,
"https://img.zcool.cn/community/031g1ju7nonwlxxnyrc6wgy3437.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",设计主管技能总结，谷歌X实验室负责人批判设计思维，谷歌搜索的消亡——硅谷设计杂谈,资讯-多领域,3240 Populary,6 Comments,50 Recommended
"https://img.zcool.cn/community/031svk0k13d6i2ldfeibqgm3639.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",爱死机3《虫群》环境概念设计,影视-设定/分镜,8189 Populary,19 Comments,431 Recommended
"https://img.zcool.cn/community/031e4gebyqwsfy8fxgnw8cb3233.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",原创IP《Twin Soul-双生灵》—表面朴实，灵魂却强大,三维-人物/生物,6669 Populary,69 Comments,348 Recommended
"https://img.zcool.cn/community/031h30my3tetjgr7ykkgarl3535.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Z世代少年-卡通角色风格化设计,三维-人物/生物,4505 Populary,37 Comments,258 Recommended
"https://img.zcool.cn/community/014ef462b94c950002c313f717f43e.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",「2022.上半年」--- 家具设计作品选集,工业/产品-生活用品,4183 Populary,10 Comments,74 Recommended
"https://img.zcool.cn/community/031twiuwvo738rhusjwv20e3736.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Octane 如何&quot;优雅&quot;的实现玻璃焦散？,教程-多领域,1.0w Populary,23 Comments,371 Recommended
https://img.zcool.cn//community/special_cover/3abf62afdeae0002d71efa8fa6aa.jpg,致另一个我们-IP潮玩线上展,专题-专题策划,共6855人气,,
"https://img.zcool.cn/community/031kj9aaeuihhtlg20wn8jf3032.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",电商产品C位聚焦手册,教程-网页,5455 Populary,9 Comments,207 Recommended
"https://img.zcool.cn/community/031rwvuiony2wpsnxggvyhw3634.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",YOOT TOY/ REBEL ALBERT,工业/产品-玩具,2190 Populary,6 Comments,55 Recommended
"https://img.zcool.cn/community/0311qcbtgkxx7y0ip1aeura3730.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",2022—Q2 Product Rendering ,三维-产品,8874 Populary,75 Comments,212 Recommended
"https://img.zcool.cn/community/0310ornfr99rkpmtwjvffo93637.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",粤港澳大湾区·LION醒狮系列,工业/产品-玩具,3929 Populary,16 Comments,189 Recommended
"https://img.zcool.cn/community/0312yzsmx6tidmnkqooat8j3636.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",🚹の人物探索,三维-人物/生物,5347 Populary,36 Comments,100 Recommended
"https://img.zcool.cn/community/031xurtzwckibuxuvu1cpwx3837.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",意思设计丨ZOOW 手机散热背夹,工业/产品-电子产品,2702 Populary,17 Comments,92 Recommended
"https://img.zcool.cn/community/031yvkfa46stwy6p1v8w3tf3838.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",光年的探索者,三维-场景,5319 Populary,38 Comments,292 Recommended
"https://img.zcool.cn/community/031fmwuqidfvxb4dnpy4wla3437.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",快手春节预热主会场 I Kuaishou 2022 CNY,网页-运营设计,4080 Populary,7 Comments,226 Recommended
"https://img.zcool.cn/community/031ukhlsjeshk32pm8lj6e13637.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",《花儿与少年》2022节目海报,摄影-人像摄影,8381 Populary,12 Comments,159 Recommended
"https://img.zcool.cn/community/031d8b55lsjdkkelmjqguop3331.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",网球场｜色彩篇,摄影-人像摄影,5312 Populary,18 Comments,160 Recommended
"https://img.zcool.cn/community/031a816mjawdthurtgdfe6r3835.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",极简风格摄影等于构图简单？99%的摄影爱好者理解错啦,摄影-风光摄影,7404 Populary,7 Comments,188 Recommended
"https://img.zcool.cn/community/01297b62b853d60002c45e376deaff.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",春夏秋冬,插画-商业插画,9719 Populary,28 Comments,598 Recommended
"https://img.zcool.cn/community/01159462b84dee0002c45e3758f76d.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",【小妖异录03】一些阶段性的探索,插画-艺术插画,6905 Populary,18 Comments,421 Recommended
"https://img.zcool.cn/community/031k76ermnmnrrfmcnrujdc3038.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",林立系列,插画-艺术插画,4913 Populary,5 Comments,311 Recommended
"https://img.zcool.cn/community/031kaqqhjbemt1vpiyjpl8z3831.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",visual design 022|视觉设计,平面-宣传物料,4590 Populary,85 Comments,236 Recommended
"https://img.zcool.cn/community/031kpeqx5pw8yk0vhdrbrul3136.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Earphone Brand & Package - OLADANCE,平面-包装,5729 Populary,23 Comments,150 Recommended
"https://img.zcool.cn/community/01d27b62b579020002c45e376981c7.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",雪佛兰-星际创世航线,平面-IP形象,8051 Populary,79 Comments,363 Recommended
"https://img.zcool.cn/community/031g5gvdyxumyoatwh8ofc23037.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",酣客酱酒    盲品更牛,平面-包装,7529 Populary,22 Comments,146 Recommended
"https://img.zcool.cn/community/031qhylgb1q879re68oegu73131.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",暴走的阿凡提丨让年轻人为超级大盘鸡暴走,平面-品牌,1.2w Populary,36 Comments,353 Recommended
"https://img.zcool.cn/community/031916ohkig3gbfh6mvdbcv3035.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Aoi图书装帧设计22,平面-书籍/画册,4982 Populary,10 Comments,250 Recommended
"https://img.zcool.cn/community/0318nitejpc0toybyiljquk3139.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",一些视觉知识点,教程-多领域,1.7w Populary,27 Comments,811 Recommended
"https://img.zcool.cn/community/01d0d962b589900002c45e37ec7fba.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",这就是我不发“朋友圈”的原因,动漫-短篇/格漫,2.9w Populary,161 Comments,906 Recommended
"https://img.zcool.cn/community/031leyt62f9wztvekvlz1px3335.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",白中南颜彩《日本异色文学经典》封面插画,插画-艺术插画,5390 Populary,10 Comments,138 Recommended
"https://img.zcool.cn/community/031dhkvcmmmdxmjujureloj3035.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",烟雨落梦鱼,摄影-人像摄影,1.1w Populary,48 Comments,437 Recommended
"https://img.zcool.cn/community/0317qmhbgbthaaq6qopwz9i3435.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",关于设计师应该如何学习,观点-多领域,1.6w Populary,116 Comments,838 Recommended
"https://img.zcool.cn/community/031b44vwansnjawnqxltt2y3939.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",adidas  ×  618年中CG动效,三维-其他三维,1.5w Populary,68 Comments,197 Recommended
"https://img.zcool.cn/community/0312yyt6dwyabygubbj9uyk3130.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",vivo X80系列产品线上视觉,网页-企业官网,7468 Populary,22 Comments,185 Recommended
,,,,,
"https://img.zcool.cn/community/031tijeu8pevhsoiwy14hvk3233.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",A CUP OF MERRY-GO-ROUND,工业/产品-玩具,4268 Populary,34 Comments,170 Recommended
"https://img.zcool.cn/community/031harzrbaqv70nee5wcd6n3131.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",认养一头牛2021品牌IP衍生品-“泡奶浴”小牛杯,工业/产品-生活用品,1.3w Populary,33 Comments,431 Recommended
"https://img.zcool.cn/community/031amkeinizjhtgsg23nau63532.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",CUN新作丨WILLchá品牌旗舰店,空间-商业空间设计,4932 Populary,18 Comments,65 Recommended
"https://img.zcool.cn/community/031opg6stvgjgokun7sxeij3437.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",做了一些动图 / 鱼,插画-创作习作,1.4w Populary,51 Comments,614 Recommended
"https://img.zcool.cn//community/special_cover/bd6662903bd80002d772f352fde9.jpg?x-oss-process=image/resize,m_fill,w_260,h_195,limit_0/auto-orient,1/sharpen,100",「圆我一个红楼梦」红楼梦经典IP /场景创意设计大赛,大赛-设计大赛,共70.2w人气,共1089参与,共909作品
"https://img.zcool.cn/community/031rpqjcirinmfpaixletav3539.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",XOXO TEA LAB | ABD案例,平面-品牌,1.3w Populary,30 Comments,324 Recommended
"https://img.zcool.cn/community/031aeyx2stqndyncf8rdrhv3532.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",张裕迷霓白兰地夜光包装设计,平面-包装,1.2w Populary,39 Comments,518 Recommended
"https://img.zcool.cn/community/031mngyfbjwlvjj7uf8pyof3735.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",烤肉新尝试-大力爸爸全球烤肉品牌设计,平面-品牌,1.4w Populary,75 Comments,464 Recommended
"https://img.zcool.cn/community/031q1nbheebjc8qjdsm8t9t3839.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",「2022」京东到家-超品周营销设计篇,网页-电商,1.1w Populary,25 Comments,230 Recommended
"https://img.zcool.cn/community/031kymnhbukq2xai1rhhg1d3036.png?x-oss-process=image/resize,m_fill,w_260,h_195,limit_0/auto-orient,1/sharpen,100",大厂设计怎么做,,共26内容,共575关注,
"https://img.zcool.cn/community/01aab362b4149c0002c313f7ef4b1a.jpg?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",非人哉807-番外·水调歌头,动漫-短篇/格漫,1.8w Populary,78 Comments,387 Recommended
"https://img.zcool.cn/community/031rojvaeypymsqaleyijrw3434.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",晆时：用镜头捕捉的建筑美学,观点-摄影,4859 Populary,6 Comments,34 Recommended
"https://img.zcool.cn/community/031uc2nt6vgyeyba2jjd3ck3335.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",《奥比岛》动画上线！你的回忆来了吗？,动漫-动画片,6971 Populary,24 Comments,169 Recommended
"https://img.zcool.cn/community/031rmahjze2cbnpshy2t6lr3338.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",2021QQ飞车赛事视觉整合,其他-独立游戏,5272 Populary,10 Comments,138 Recommended
"https://img.zcool.cn/community/031dsidsoyb0paf1aytnmr23339.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",NAUTS x DAMTOYS 1/6《生化危机2》 里昂.S.肯尼迪 ,工业/产品-玩具,3585 Populary,6 Comments,50 Recommended
"https://img.zcool.cn/community/031eamf00daboattkm2hufk3735.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",大厂刷掉你作品集的11条原因，其他公司也在效仿,观点-多领域,2.0w Populary,60 Comments,457 Recommended
"https://img.zcool.cn/community/031kyb6gidrevg35lkgcfb63730.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",一点点复古,摄影-人像摄影,7741 Populary,16 Comments,175 Recommended
"https://img.zcool.cn/community/0319o3lh3whdohtqfawiiss3538.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",艺术与科技的对话 | P8系列大理石纹电动牙刷,三维-动画/影视,4805 Populary,12 Comments,129 Recommended
"https://img.zcool.cn/community/031tzjn69vdxrmtcr1kdvyv3130.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",Bentley Bentayga CGI,三维-机械/交通,1.0w Populary,50 Comments,491 Recommended
"https://img.zcool.cn/community/031t2o52g4qshikxtpgk77b3531.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",菜鸟·奖杯设计·青鸟奖,工业/产品-其他工业/产品,6898 Populary,36 Comments,114 Recommended
"https://img.zcool.cn/community/031fmrhokxnou4voynofcrb3931.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",久石让作曲！王者荣耀桑启《光之奇旅》剪纸定格动画！,影视-短片,6651 Populary,20 Comments,148 Recommended
"https://img.zcool.cn/community/031qh21wwnbd96tlpk8sqok3435.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",A1车载吸尘器,工业/产品-电子产品,6647 Populary,15 Comments,113 Recommended
"https://img.zcool.cn/community/031ynsqjmijgt3e8pwu4pbw3531.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",江山•红斑绿锈历芳华——后疫情时代的觉醒,纯艺术-绘画,5835 Populary,25 Comments,202 Recommended
"https://img.zcool.cn/community/03172oxapecuqudaekbjjf23434.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",玩型填空 | 上汽大众新朗逸，邀大吉LUCKY解锁潮流风尚,三维-产品,6446 Populary,7 Comments,124 Recommended
"https://img.zcool.cn/community/031vfl2lo4naqlb3dehdxka3932.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",一些负责绘制的山海经工作图，记录下过去一年的成果。,插画-游戏原画,8975 Populary,55 Comments,192 Recommended
"https://img.zcool.cn/community/031sqhybm5ns9kwbjxbpuws3333.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",做不到“没有烦恼”，至少做到“吃好睡好”,动漫-中/长篇漫画,1.3w Populary,61 Comments,376 Recommended
"https://img.zcool.cn//community/special_cover/6e2862280a7b110135f9303cd4e1.jpg?x-oss-process=image/resize,m_fill,w_260,h_195,limit_0/auto-orient,1/sharpen,100",2022大设计奖·校园赛道,大赛-设计大赛,共44.8w人气,共2569参与,共3104作品
"https://img.zcool.cn/community/031rsjxb1q47vxufm7d6zxh3739.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",【 久违了旅行 | ZCOOL 16TH 】,平面-海报,1.1w Populary,66 Comments,643 Recommended
"https://img.zcool.cn/community/031lup12rd1surwouwlkqh23037.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",24节气字体设计（2022版）,平面-字体/字形,1.0w Populary,53 Comments,377 Recommended
"https://img.zcool.cn/community/031srblzco7xjssywf57ndb3938.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",奔驰·《致友计划篇》,影视-宣传片,5496 Populary,10 Comments,89 Recommended
"https://img.zcool.cn/community/031pwa3ickivk71dxi85owi3130.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",案例分享 | STP & 屈臣氏 x 虚拟偶像imma,三维-动画/影视,1.1w Populary,35 Comments,184 Recommended
"https://img.zcool.cn/community/031voskvxdbibfnsa0wvoyx3132.png?x-oss-process=image/resize,m_fill,w_520,h_390,limit_0/auto-orient,1/sharpen,100",梅林传奇封面,插画-商业插画,1.0w Populary,12 Comments,349 Recommended
